arc,times,Primitive,Subject type,Subproperty of,Object Type,Activity,Others,Note
<http://purl.org/dj/boolean_mask>,42,,,,,,,
<http://purl.org/dj/drop_duplicates>,42,,,,,,,
<http://purl.org/dj/randn>,42,,,,,,,
<http://purl.org/dj/conv2d_fixed_padding>,42,,,,,,,
<http://purl.org/dj/color_palette>,42,,,,,,,
<http://purl.org/dj/dump>,42,,,,,,,
<http://purl.org/dj/uint8>,42,,,,,,,
<http://purl.org/dj/label>,42,,,,,,,
<http://purl.org/dj/StratifiedKFold>,41,,,,,,,
<http://purl.org/dj/set_color>,41,,,,,,,
<http://purl.org/dj/nunique>,41,,,,,,,
<http://purl.org/dj/BatchNorm2d>,41,,,,,,,
<http://purl.org/dj/vstack>,41,,,,,,,
<http://purl.org/dj/pivot_table>,41,,,,,,,
<http://purl.org/dj/assign>,41,,,,,,,
<http://purl.org/dj/minimum>,41,,,,,,,
<http://purl.org/dj/DataParallel>,41,,,,,,,
<http://purl.org/dj/subplot2grid>,41,,,,,,,
<http://purl.org/dj/pdp_plot>,40,,,,,,,
<http://purl.org/dj/kurtosis>,40,,,,,,,
<http://purl.org/dj/get_input>,40,,,,,,,
<http://purl.org/dj/Compose>,40,,,,,,,
<http://purl.org/dj/applymap>,40,,,,,,,
<http://purl.org/dj/findContours>,39,,,,,,,
<http://purl.org/dj/plot_trisurf>,39,,,,,,,
<http://purl.org/dj/tuple>,38,,,,,,,
<http://purl.org/dj/inverse_transform>,38,,,,,,,
<http://purl.org/dj/summary_plot>,38,,,,,,,
<http://purl.org/dj/load_data>,38,,,,,,,
<http://purl.org/dj/query_to_pandas_safe>,38,,,,,,,
<http://purl.org/dj/create_dataset>,38,,,,,,,
<http://purl.org/dj/convert>,37,,,,,,,
<http://purl.org/dj/fit_one_cycle>,37,,,,,,,
<http://purl.org/dj/Map>,37,,,,,,,
<http://purl.org/dj/cos>,37,,,,,,,
<http://purl.org/dj/make_test_predictions>,36,,,,,,,
<http://purl.org/dj/create_distplot>,36,,,,,,,
<http://purl.org/dj/plot_readability>,36,,,,,,,
<http://purl.org/dj/logical_or>,36,,,,,,,
<http://purl.org/dj/align>,36,,,,,,,
<http://purl.org/dj/cvs>,36,,,,,,,
<http://purl.org/dj/deepcopy>,36,,,,,,,
<http://purl.org/dj/calc_change_rate>,36,,,,,,,
<http://purl.org/dj/flow_from_dataframe>,36,,,,,,,
<http://purl.org/dj/horizontal_bar_chart>,36,,,,,,,
<http://purl.org/dj/plot_date>,36,,,,,,,
<http://purl.org/dj/zero_grad>,35,,,,,,,
<http://purl.org/dj/close>,35,,,,,,,
<http://purl.org/dj/GridSpec>,35,,,,,,,
<http://purl.org/dj/read_json>,35,,,,,,,
<http://purl.org/dj/argsort>,35,,,,,,,
<http://purl.org/dj/backward>,35,,,,,,,
<http://purl.org/dj/select_dtypes>,35,,,,,,,
<http://purl.org/dj/dropout>,35,,,,,,,
<http://purl.org/dj/forward>,35,,,,,,,
<http://purl.org/dj/makedirs>,35,,,,,,,
<http://purl.org/dj/CatBoostRegressor>,35,,,,,,,
<http://purl.org/dj/classification_report>,35,,,,,,,
<http://purl.org/dj/telecom_churn_prediction>,35,,,,,,,
<http://purl.org/dj/validate>,34,,,,,,,
<http://purl.org/dj/mean_squared_error>,34,,,,,,,
<http://purl.org/dj/permutation>,34,,,,,,,
<http://purl.org/dj/build_vocab>,34,,,,,,,
<http://purl.org/dj/cast>,34,,,,,,,
<http://purl.org/dj/partial>,34,,,,,,,
<http://purl.org/dj/get_indexer>,34,,,,,,,
<http://purl.org/dj/date2num>,34,,,,,,,
<http://purl.org/dj/get_preds>,33,,,,,,,
<http://purl.org/dj/index>,33,,,,,,,
<http://purl.org/dj/Pipeline>,33,,,,,,,
<http://purl.org/dj/csr_matrix>,33,,,,,,,
<http://purl.org/dj/XGBClassifier>,33,,,,,,,
<http://purl.org/dj/type>,33,,,,,,,
<http://purl.org/dj/plot_importance>,33,,,,,,,
<http://purl.org/dj/matrix>,33,,,,,,,
<http://purl.org/dj/cbr>,33,,,,,,,
<http://purl.org/dj/properties>,33,,,,,,,
<http://purl.org/dj/Variable>,33,,,,,,,
<http://purl.org/dj/show_weights>,33,,,,,,,
<http://purl.org/dj/resize_image>,33,,,,,,,
<http://purl.org/dj/add_legend>,32,,,,,,,
<http://purl.org/dj/boxcox1p>,32,,,,,,,
<http://purl.org/dj/Tokenizer>,32,,,,,,,
<http://purl.org/dj/spectral_norm>,32,,,,,,,
<http://purl.org/dj/read_pickle>,32,,,,,,,
<http://purl.org/dj/unstack>,32,,,,,,,
<http://purl.org/dj/corrcoef>,32,,,,,,,
<http://purl.org/dj/Embedding>,32,,,,,,,
<http://purl.org/dj/shap_values>,32,,,,,,,
<http://purl.org/dj/pred>,32,,,,,,,
<http://purl.org/dj/window_image>,32,,,,,,,
<http://purl.org/dj/tensor>,32,,,,,,,
<http://purl.org/dj/df_to_bin>,32,,,,,,,
<http://purl.org/dj/train_ch5>,32,,,,,,,
<http://purl.org/dj/export_graphviz>,32,,,,,,,
<http://purl.org/dj/read_sql>,32,,,,,,,
<http://purl.org/dj/frequency_encoding>,32,,,,,,,
<http://purl.org/dj/objective>,32,,,,,,,
<http://purl.org/dj/ModelCheckpoint>,31,,,,,,,
<http://purl.org/dj/bar_ver_noagg>,31,,,,,,,
<http://purl.org/dj/strptime>,31,,,,,,,
<http://purl.org/dj/trim_mean>,31,,,,,,,
<http://purl.org/dj/reduce_sum>,31,,,,,,,
<http://purl.org/dj/Audio>,31,,,,,,,
<http://purl.org/dj/set_visible>,31,,,,,,,
<http://purl.org/dj/strip>,30,,,,,,,
<http://purl.org/dj/add_to>,30,,,,,,,
<http://purl.org/dj/set_value>,30,,,,,,,
<http://purl.org/dj/full>,30,,,,,,,
<http://purl.org/dj/enable>,30,,,,,,,
<http://purl.org/dj/prepare_data>,30,,,,,,,
<http://purl.org/dj/get_identity_peaks_df>,30,,,,,,,
<http://purl.org/dj/Categorical>,30,,,,,,,
<http://purl.org/dj/SklearnHelper>,30,,,,,,,
<http://purl.org/dj/vocab_check_coverage>,30,,,,,,,
<http://purl.org/dj/precision_at>,30,,,,,,,
<http://purl.org/dj/tile>,29,,,,,,,
<http://purl.org/dj/LabelEncoder>,29,,,,,,,
